ThaiBev,Y92,TBEV.SI
Thakral,AWI,THAK.SI
The Place Hldg,E27,THEP.SI
TheHourGlass,AGS,HRGS.SI
Thomson Medical,A50,THOS.SI
Tianjin ZX USD,T14,TIAN.SI
TIH,T55,TIHL.SI
Tiong Seng,BFI,TISE.SI
Tiong Woon,BQM,TION.SI
TLV,42L,TLVH.SI
Top Global,BHO,TPGB.SI
Top Glove,BVA,TPGC.KL
Tosei,S2D,8923.T
Transcorp,T19,TCHL.SI
Transit Concrete,570,TMCL.SI
Travelite,BCZ,TRHL.SI
Trek 2000 Intl,5AB,TRKL.SI
Trendlines,42T,THET.SI
TrickleStar,CYW,TRIC.SI
Tritech,5G9,TTGL.SI
Triyards,RC5,TRIY.SI
TSH,KUH,TSHC.SI
TT Intl,T09,TINL.SI
TTJ,K1Q,TTJH.SI
Tuan Sing,T24,TSHS.SI
Tung Lok Rest,540,TGLK.SI
Tye Soon,BFU,TYES.SI
UG Healthcare,41A,UGHE.SI
UIC,U06,UICS.SI
UMS,558,UMSH.SI
Uni-Asia Grp,CHJ,UAFC.SI
Union Gas,1F2,UNIO.SI
Union Steel,BLA,UNIS.SI
United Food,AZR,UTDF.SI
United Global,43P,UNIT.SI
Universal Res,BGO,UNIV.SI
UnUsUaL,1D1,UNUS.SI
UOA,EH5,UOS.AX
UOB,U11,UOBH.SI
UOB Kay Hian,U10,UOKH.SI
UOI,U13,UOIS.SI
UOL,U14,UTOS.SI
UOL  A,MKO,
USP Group,BRS,USPG.SI
UtdHampshReitUSD,ODBU,UNIE.SI
Vallianz,WPC,VHLD.SI
ValueMax,T6I,VAMG.SI
Valuetronics,BN2,VLUE.SI
Venture,V03,VENM.SI
Versalink,40N,VERS.SI
Vibrant Group,BIP,VIBR.SI
VibroPower,BJD,VIBO.SI
VICOM Ltd,WJP,VCOM.SI
Vicplas Intl,569,VICP.SI
Viking Offshore,557,VIKO.SI
Vividthree,OMK,VIVI.SI
Wee Hur,E3B,WHHL.SI
Willas-Array,BDR,0854.HK
Wilmar Intl,F34,WLIL.SI
Wilton Resources,5F7,WILT.SI
Winas,5CN,WINA.SI
Wing Tai,W05,WTHS.SI
Winmark Inv,40R,WINM.SI
Wong Fong Ind,1A1,WONG.SI
World Class Gbl,1E6,WORL.SI
World Precision,B49,WPML.SI
XMH,BQF,XMHL.SI
Y Ventures,1F1,YVEN.SI
Yamada Green Res,BJV,YAMR.SI
Yanlord Land,Z25,YNLG.SI
Yeo Hiap Seng,Y03,YHSS.SI
YHI Intl,BPF,YHII.SI
Yinda Infocomm,42F,YIND.SI
Ying Li Intl,5DM,YING.SI
Yoma Strategic,Z59,YOMA.SI
Yongmao,BKX,YNMH.SI
Yongnam,AXB,YNAM.SI
Yorkshine,MR8,YORK.SI
Yunnan Energy,T43,1298.HK
YuuZoo Networks,AFC,YUUZ.SI
YZJ Shipbldg CNY,SO7,
YZJ Shipbldg SGD,BS6,YAZG.SI
Zheneng Jinjiang,BWM,ZHEN.SI
Zhongmin Baihui,5SR,ZBRG.SI
Zhongxin Fruit,5EG,ZHON.SI
ZICO Hldgs,40W,ZICO.SI
